code,country,region,population,area,pop_density,coastline,net_migration,infant_mortality,gdp,literacy,phones,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service,latitude,longitude
AFG,Afghanistan,ASIA(EX.NEAREAST),31056997,647500,48,0,"23,06","163,07",700,36,"3,2","12,13","0,22","87,65",1,"46,6","20,34","0,38","0,24","0,38","33,93911","67,709953"
ALB,Albania,EASTERNEUROPE,3581655,28748,"124,6","1,26","-4,93","21,52",4500,"86,5","71,2","21,09","4,42","74,49",3,"15,11","5,22",232,188,579,"41,153332","20,168331"
DZA,Algeria,NORTHERNAFRICA,32930091,2381740,"13,8","0,04","-0,39",31,6000,70,"78,1","3,22","0,25","96,53",1,"17,14","4,61",101,"0,6",298,"28,033886","1,659626"
ASM,AmericanSamoa,OCEANIA,57794,199,"290,4","58,29","-20,71","9,27",8000,97,"259,5",10,15,75,2,"22,46","3,27",,,,"-14,270972","-170,132217"
AND,Andorra,WESTERNEUROPE,71201,468,"152,1",0,"6,6","4,05",19000,100,"497,2","2,22",0,"97,78",3,"8,71","6,25",,,,"42,546245","1,601554"
AGO,Angola,SUB-SAHARANAFRICA,12127071,1246700,"9,7","0,13",0,"191,19",1900,42,"7,8","2,41","0,24","97,35",,"45,11","24,2",96,658,246,"-11,202692","17,873887"
AIA,Anguilla,LATINAMER.&CARIB,13477,102,"132,1","59,8","10,76","21,03",8600,95,460,0,0,100,2,"14,17","5,34","0,04","0,18","0,78","18,220554","-63,068615"
ATG,Antigua&Barbuda,LATINAMER.&CARIB,69108,443,156,"34,54","-6,15","19,46",11000,89,"549,9","18,18","4,55","77,27",2,"16,93","5,37",38,"0,22",743,"17,060816","-61,796428"
ARG,Argentina,LATINAMER.&CARIB,39921833,2766890,"14,4","0,18","0,61","15,18",11200,"97,1","220,4","12,31","0,48","87,21",3,"16,73","7,55",95,358,547,"-38,416097","-63,616672"
ARM,Armenia,C.W.OFIND.STATES,2976372,29800,"99,9",0,"-6,47","23,28",3500,"98,6","195,7","17,55","2,3","80,15",4,"12,07","8,23",239,343,418,"40,069099","45,038189"
ABW,Aruba,LATINAMER.&CARIB,71891,193,"372,5","35,49",0,"5,89",28000,97,"516,1","10,53",0,"89,47",2,"11,03","6,68",4,333,663,"12,52111","-69,968338"
AUS,Australia,OCEANIA,20264082,7686850,"2,6","0,34","3,98","4,69",29000,100,"565,5","6,55","0,04","93,41",1,"12,14","7,51",38,262,"0,7","-25,274398","133,775136"
AUT,Austria,WESTERNEUROPE,8192880,83870,"97,7",0,2,"4,66",30000,98,"452,2","16,91","0,86","82,23",3,"8,74","9,76",18,304,678,"47,516231","14,550072"
AZE,Azerbaijan,C.W.OFIND.STATES,7961619,86600,"91,9",0,"-4,9","81,74",3400,97,"137,1","19,63","2,71","77,66",1,"20,74","9,75",141,457,402,"40,143105","47,576927"
BHS,"Bahamas,The",LATINAMER.&CARIB,303770,13940,"21,8","25,41","-2,2","25,21",16700,"95,6","460,6","0,8","0,4","98,8",2,"17,57","9,05","0,03","0,07","0,9","25,03428","-77,39628"
BHR,Bahrain,NEAREAST,698585,665,"1050,5","24,21","1,05","17,27",16900,"89,1","281,3","2,82","5,63","91,55",1,"17,8","4,14",5,387,608,"25,930414","50,637772"
BGD,Bangladesh,ASIA(EX.NEAREAST),147365352,144000,"1023,4","0,4","-0,71","62,6",1900,"43,1","7,3","62,11","3,07","34,82",2,"29,8","8,27",199,198,603,"23,684994","90,356331"
BRB,Barbados,LATINAMER.&CARIB,279912,431,"649,5","22,51","-0,31","12,5",15700,"97,4","481,9","37,21","2,33","60,46",2,"12,71","8,67","0,06","0,16","0,78","13,193887","-59,543198"
BLR,Belarus,C.W.OFIND.STATES,10293011,207600,"49,6",0,"2,54","13,37",6100,"99,6","319,1","29,55","0,6","69,85",4,"11,16","14,02",93,316,591,"53,709807","27,953389"
BEL,Belgium,WESTERNEUROPE,10379067,30528,340,"0,22","1,23","4,68",29100,98,"462,6","23,28","0,4","76,32",3,"10,38","10,27","0,01","0,24",749,"50,503887","4,469936"
BLZ,Belize,LATINAMER.&CARIB,287730,22966,"12,5","1,68",0,"25,69",4900,"94,1","115,7","2,85","1,71","95,44",2,"28,84","5,72",142,152,612,"17,189877","-88,49765"
BEN,Benin,SUB-SAHARANAFRICA,7862944,112620,"69,8","0,11",0,85,1100,"40,9","9,7","18,08","2,4","79,52",2,"38,85","12,22",316,138,546,"9,30769","2,315834"
BMU,Bermuda,NORTHERNAMERICA,65773,53,1241,"194,34","2,49","8,53",36000,98,"851,4",20,0,80,2,"11,4","7,74","0,01","0,1","0,89","32,321384","-64,75737"
BTN,Bhutan,ASIA(EX.NEAREAST),2279723,47000,"48,5",0,0,"100,44",1300,"42,2","14,3","3,09","0,43","96,48",2,"33,65","12,7",258,379,363,"27,514162","90,433601"
BOL,Bolivia,LATINAMER.&CARIB,8989046,1098580,"8,2",0,"-1,32","53,11",2400,"87,2","71,9","2,67","0,19","97,14","1,5","23,3","7,53",128,352,"0,52","-16,290154","-63,588653"
BIH,Bosnia&Herzegovina,EASTERNEUROPE,4498976,51129,88,"0,04","0,31","21,05",6100,,"215,4","13,6","2,96","83,44",4,"8,77","8,27",142,308,"0,55","43,915886","17,679076"
BWA,Botswana,SUB-SAHARANAFRICA,1639833,600370,"2,7",0,0,"54,58",9000,"79,8","80,5","0,65","0,01","99,34",1,"23,08","29,5",24,469,507,"-22,328474","24,684866"
BRA,Brazil,LATINAMER.&CARIB,188078227,8511965,"22,1","0,09","-0,03","29,61",7600,"86,4","225,3","6,96","0,9","92,15",2,"16,56","6,17",84,"0,4",516,"-14,235004","-51,92528"
IOT,BritishVirginIs.,LATINAMER.&CARIB,23098,153,151,"52,29","10,01","18,05",16000,"97,8","506,5",20,"6,67","73,33",2,"14,89","4,42",18,62,"0,92","18,420695","-64,639968"
BRN,Brunei,ASIA(EX.NEAREAST),379444,5770,"65,8","2,79","3,59","12,61",18600,"93,9","237,2","0,57","0,76","98,67",2,"18,79","3,45",36,561,403,"4,535277","114,727669"
BGR,Bulgaria,EASTERNEUROPE,7385367,110910,"66,6","0,32","-4,58","20,55",7600,"98,6","336,3","40,02","1,92","58,06",3,"9,65","14,27",93,304,603,"42,733883","25,48583"
BFA,BurkinaFaso,SUB-SAHARANAFRICA,13902972,274200,"50,7",0,0,"97,57",1100,"26,6",7,"14,43","0,19","85,38",2,"45,62","15,6",322,196,482,"12,238333","-1,561593"
MMR,Burma,ASIA(EX.NEAREAST),47382633,678500,"69,8","0,28","-1,8","67,24",1800,"85,3","10,1","15,19","0,97","83,84",2,"17,91","9,83",564,82,353,"21,913965","95,956223"
BDI,Burundi,SUB-SAHARANAFRICA,8090068,27830,"290,7",0,"-0,06","69,29",600,"51,6","3,4","35,05","14,02","50,93",2,"42,22","13,46",463,203,334,"-3,373056","29,918886"
KHM,Cambodia,ASIA(EX.NEAREAST),13881427,181040,"76,7","0,24",0,"71,48",1900,"69,4","2,6","20,96","0,61","78,43",2,"26,9","9,06","0,35","0,3","0,35","12,565679","104,990963"
CMR,Cameroon,SUB-SAHARANAFRICA,17340702,475440,"36,5","0,08",0,"68,26",1800,79,"5,7","12,81","2,58","84,61","1,5","33,89","13,47",448,"0,17",382,"7,369722","12,354722"
CAN,Canada,NORTHERNAMERICA,33098932,9984670,"3,3","2,02","5,96","4,75",29800,97,"552,2","4,96","0,02","95,02",,"10,78","7,8",22,294,684,"56,130366","-106,346771"
CPV,CapeVerde,SUB-SAHARANAFRICA,420979,4033,"104,4","23,93","-12,07","47,77",1400,"76,6","169,6","9,68","0,5","89,82",3,"24,87","6,55",121,219,"0,66","16,002082","-24,013197"
CYM,CaymanIslands,LATINAMER.&CARIB,45436,262,"173,4","61,07","18,75","8,19",35000,98,"836,3","3,85",0,"96,15",2,"12,74","4,89",14,32,954,"19,513469","-80,566956"
CAF,CentralAfricanRep.,SUB-SAHARANAFRICA,4303356,622984,"6,9",0,0,91,1100,51,"2,3","3,1","0,14","96,76",2,"33,91","18,65","0,55","0,2","0,25","6,611111","20,939444"
TCD,Chad,SUB-SAHARANAFRICA,9944201,1284000,"7,7",0,"-0,11","93,82",1200,"47,5","1,3","2,86","0,02","97,12",2,"45,73","16,38",335,259,406,"15,454166","18,732207"
CHL,Chile,LATINAMER.&CARIB,16134219,756950,"21,3","0,85",0,"8,8",9900,"96,2",213,"2,65","0,42","96,93",3,"15,23","5,81","0,06",493,447,"-35,675147","-71,542969"
CHN,China,ASIA(EX.NEAREAST),1313973713,9596960,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","15,4","1,25","83,35","1,5","13,25","6,97",125,473,403,"35,86166","104,195397"
COL,Colombia,LATINAMER.&CARIB,43593035,1138910,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2","2,42","1,67","95,91",2,"20,48","5,58",125,342,533,"4,570868","-74,297333"
COM,Comoros,SUB-SAHARANAFRICA,690948,2170,"318,4","15,67",0,"74,93",700,"56,5","24,5","35,87","23,32","40,81",2,"36,93","8,2","0,4","0,04","0,56","-11,875001","43,872219"
COG,"Congo,Dem.Rep.",SUB-SAHARANAFRICA,62660551,2345410,"26,7",0,0,"94,69",700,"65,5","0,2","2,96","0,52","96,52",2,"43,69","13,27","0,55","0,11","0,34","-4,038333","21,758664"
COD,"Congo,Repub.ofthe",SUB-SAHARANAFRICA,3702314,342000,"10,8","0,05","-0,17","93,86",700,"83,8","3,7","0,51","0,13","99,36",2,"42,57","12,93",62,"0,57",369,"-0,228021","15,827659"
COK,CookIslands,OCEANIA,21388,240,"89,1",50,,,5000,95,"289,9","17,39","13,04","69,57",2,21,,151,96,753,"-21,236736","-159,777671"
CRI,CostaRica,LATINAMER.&CARIB,4075261,51100,"79,8","2,52","0,51","9,95",9100,96,"340,7","4,41","5,88","89,71",2,"18,32","4,36",88,299,614,"9,748917","-83,753428"
CIV,Coted'Ivoire,SUB-SAHARANAFRICA,17654843,322460,"54,8","0,16","-0,07","90,83",1400,"50,9","14,6","9,75","13,84","76,41",2,"35,11","14,84",279,171,"0,55","7,539989","-5,54708"
HRV,Croatia,EASTERNEUROPE,4494749,56542,"79,5","10,32","1,58","6,84",10600,"98,5","420,4","26,09","2,27","71,65",,"9,61","11,48","0,07",308,622,"45,1","15,2"
CUB,Cuba,LATINAMER.&CARIB,11382820,110860,"102,7","3,37","-1,58","6,33",2900,97,"74,7","33,05","7,6","59,35",2,"11,89","7,22",55,261,684,"21,521757","-77,781167"
CYP,Cyprus,NEAREAST,784301,9250,"84,8","7,01","0,43","7,18",19200,"97,6",,"7,79","4,44","87,77",3,"12,56","7,68",37,198,765,"35,126413","33,429859"
CZE,CzechRepublic,EASTERNEUROPE,10235455,78866,"129,8",0,"0,97","3,93",15700,"99,9","314,3","39,8","3,05","57,15",3,"9,02","10,59",34,393,573,"49,817492","15,472962"
DNK,Denmark,WESTERNEUROPE,5450661,43094,"126,5","16,97","2,48","4,56",31100,100,"614,6","54,02","0,19","45,79",3,"11,13","10,36",18,246,735,"56,26392","9,501785"
DJI,Djibouti,SUB-SAHARANAFRICA,486530,23000,"21,2","1,37",0,"104,13",1300,"67,9","22,8","0,04",0,"99,96",1,"39,53","19,31",179,225,596,"11,825138","42,590275"
DMA,Dominica,LATINAMER.&CARIB,68910,754,"91,4","19,63","-13,87","14,15",5400,94,"304,8","6,67",20,"73,33",2,"15,27","6,73",177,328,495,"15,414999","-61,370976"
DOM,DominicanRepublic,LATINAMER.&CARIB,9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02",2,"23,22","5,73",112,306,582,"18,735693","-70,162651"
TLS,EastTimor,ASIA(EX.NEAREAST),1062777,15007,"70,8","4,7",0,"47,41",500,"58,6",,"4,71","0,67","94,62",2,"26,99","6,24",85,231,684,"-8,874217","125,727539"
ECU,Ecuador,LATINAMER.&CARIB,13547510,283560,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6","5,85","4,93","89,22",2,"22,29","4,23","0,07",312,618,"-1,831239","-78,183406"
EGY,Egypt,NORTHERNAFRICA,78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","2,87","0,48","96,65",1,"22,94","5,23",149,357,493,"26,820553","30,802498"
SLV,ElSalvador,LATINAMER.&CARIB,6822378,21040,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4","31,85","12,07","56,08",2,"26,61","5,78",99,302,599,"13,794185","-88,89653"
GNQ,EquatorialGuinea,SUB-SAHARANAFRICA,540109,28051,"19,3","1,06",0,"85,13",2700,"85,7","18,5","4,63","3,57","91,8",2,"35,59","15,06","0,03",906,62,"1,650801","10,267895"
ERI,Eritrea,SUB-SAHARANAFRICA,4786994,121320,"39,5","1,84",0,"74,87",700,"58,6","7,9","4,95","0,03","95,02","1,5","34,33","9,6",102,254,643,"15,179384","39,782334"
EST,Estonia,BALTICS,1324333,45226,"29,3","8,39","-3,16","7,87",12300,"99,8","333,8","16,04","0,45","83,51",3,"10,04","13,25","0,04",294,666,"58,595272","25,013607"
ETH,Ethiopia,SUB-SAHARANAFRICA,74777981,1127127,"66,3",0,0,"95,32",700,"42,7","8,2","10,71","0,75","88,54",2,"37,98","14,86",475,99,426,"9,145","40,489673"
FRO,FaroeIslands,WESTERNEUROPE,47246,1399,"33,8","79,84","1,41","6,24",22000,,"503,8","2,14",0,"97,86",,"14,05","8,7","0,27","0,11","0,62","61,892635","-6,911806"
FJI,Fiji,OCEANIA,905949,18270,"49,6","6,18","-3,14","12,62",5800,"93,7","112,6","10,95","4,65","84,4",2,"22,55","5,65",89,135,776,"-16,578193","179,414413"
FIN,Finland,WESTERNEUROPE,5231372,338145,"15,5","0,37","0,95","3,57",27400,100,"405,3","7,19","0,03","92,78",3,"10,45","9,86",28,295,676,"61,92411","25,748151"
FRA,France,WESTERNEUROPE,60876136,547030,"111,3","0,63","0,66","4,26",27600,99,"586,4","33,53","2,07","64,4",4,"11,99","9,14",22,214,764,"46,227638","2,213749"
GUF,FrenchGuiana,LATINAMER.&CARIB,199509,91000,"2,2","0,42","6,27","12,07",8300,83,"255,6","0,14","0,05","99,81",2,"20,46","4,88",66,156,778,"3,933889","-53,125782"
PYF,FrenchPolynesia,OCEANIA,274578,4167,"65,9","60,6","2,94","8,44",17500,98,"194,5","0,82","5,46","93,72",2,"16,68","4,69",31,"0,19",769,"-17,679742","-149,406843"
GAB,Gabon,SUB-SAHARANAFRICA,1424906,267667,"5,3","0,33",0,"53,64",5500,"63,2","27,4","1,26","0,66","98,08",2,"36,16","12,25",61,592,348,"-0,803689","11,609444"
GMB,"Gambia,The",SUB-SAHARANAFRICA,1641564,11300,"145,3","0,71","1,57","72,02",1700,"40,1","26,8",25,"0,5","74,5",2,"39,37","12,25",308,142,549,"13,443182","-15,310139"
,GazaStrip,NEAREAST,1428757,360,"3968,8","11,11","1,6","22,93",600,,"244,3","28,95","21,05",50,3,"39,45","3,8","0,03",283,687,"31,354676","34,308825"
GEO,Georgia,C.W.OFIND.STATES,4661473,69700,"66,9","0,44","-4,7","18,59",2500,99,"146,6","11,44","3,86","84,7",3,"10,41","9,23",172,275,553,"42,315407","43,356892"
DEU,Germany,WESTERNEUROPE,82422299,357021,"230,9","0,67","2,18","4,16",27600,99,"667,9","33,85","0,59","65,56",3,"8,25","10,62",9,296,695,"51,165691","10,451526"
GHA,Ghana,SUB-SAHARANAFRICA,22409572,239460,"93,6","0,23","-0,64","51,43",2200,"74,8","14,4","16,26","9,67","74,07",2,"30,52","9,72",366,246,387,"7,946527","-1,023194"
GIB,Gibraltar,WESTERNEUROPE,27928,7,"3989,7","171,43",0,"5,13",17500,,"877,7",0,0,100,,"10,74","9,31",,,,"36,137741","-5,345374"
GRC,Greece,WESTERNEUROPE,10688058,131940,81,"10,37","2,35","5,53",20000,"97,5","589,7","21,1","8,78","70,12",3,"9,68","10,24",54,213,733,"39,074208","21,824312"
GRL,Greenland,NORTHERNAMERICA,56361,2166086,0,"2,04","-8,37","15,82",20000,,"448,9",0,0,100,1,"15,93","7,84",,,,"71,706936","-42,604303"
GRD,Grenada,LATINAMER.&CARIB,89703,344,"260,8","35,17","-13,92","14,62",5000,98,"364,5","5,88","29,41","64,71",2,"22,08","6,88",54,"0,18",766,"12,262776","-61,604171"
GLP,Guadeloupe,LATINAMER.&CARIB,452776,1780,"254,4","17,19","-0,15","8,6",8000,90,"463,8","11,24","3,55","85,21",2,"15,05","6,09","0,15","0,17","0,68","16,995971","-62,067641"
GUM,Guam,OCEANIA,171019,541,"316,1","23,2",0,"6,94",21000,99,492,"9,09","16,36","74,55",2,"18,79","4,48",,,,"13,444304","144,793731"
GTM,Guatemala,LATINAMER.&CARIB,12293545,108890,"112,9","0,37","-1,67","35,93",4100,"70,6","92,1","12,54","5,03","82,43",2,"29,88","5,2",227,188,585,"15,783471","-90,230759"
GGY,Guernsey,WESTERNEUROPE,65409,78,"838,6","64,1","3,84","4,71",20000,,"842,4",,,,3,"8,81","10,01","0,03","0,1","0,87","49,465691","-2,585278"
GIN,Guinea,SUB-SAHARANAFRICA,9690222,245857,"39,4","0,13","-3,06","90,37",2100,"35,9","2,7","3,63","2,58","93,79",2,"41,76","15,48",237,362,401,"9,945587","-9,696645"
GNB,Guinea-Bissau,SUB-SAHARANAFRICA,1442029,36120,"39,9","0,97","-1,57","107,17",800,"42,4","7,4","10,67","8,82","80,51",2,"37,22","16,53","0,62","0,12","0,26","11,803749","-15,180413"
GUY,Guyana,LATINAMER.&CARIB,767245,214970,"3,6","0,21","-2,07","33,26",4000,"98,8","143,5","2,44","0,15","97,41",2,"18,28","8,28","0,37",203,427,"4,860416","-58,93018"
HTI,Haiti,LATINAMER.&CARIB,8308504,27750,"299,4","6,38","-3,4","73,45",1600,"52,9","16,9","28,3","11,61","60,09",2,"36,44","12,17","0,28","0,2","0,52","18,971187","-72,285215"
HND,Honduras,LATINAMER.&CARIB,7326496,112090,"65,4","0,73","-1,99","29,32",2600,"76,2","67,5","9,55","3,22","87,23",2,"28,24","5,28",139,312,549,"15,199999","-86,241905"
HKG,HongKong,ASIA(EX.NEAREAST),6940432,1092,"6355,7","67,12","5,24","2,97",28800,"93,5","546,7","5,05","1,01","93,94",2,"7,29","6,29",1,92,906,"22,396428","114,109497"
HUN,Hungary,EASTERNEUROPE,9981334,93030,"107,3",0,"0,86","8,57",13900,"99,4","336,2","50,09","2,06","47,85",3,"9,72","13,11",37,312,651,"47,162494","19,503304"
ISL,Iceland,WESTERNEUROPE,299388,103000,"2,9","4,83","2,38","3,31",30900,"99,9","647,7","0,07",0,"99,93",3,"13,64","6,72",86,"0,15",765,"64,963051","-19,020835"
IND,India,ASIA(EX.NEAREAST),1095351995,3287590,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","54,4","2,74","42,86","2,5","22,01","8,18",186,276,538,"20,593684","78,96288"
IDN,Indonesia,ASIA(EX.NEAREAST),245452739,1919440,"127,9","2,85",0,"35,6",3200,"87,9",52,"11,32","7,23","81,45",2,"20,34","6,25",134,458,408,"-0,789275","113,921327"
IRN,Iran,ASIA(EX.NEAREAST),68688433,1648000,"41,7","0,15","-0,84","41,58",7000,"79,4","276,4","8,72","1,39","89,89",1,17,"5,55",116,424,"0,46","32,427908","53,688046"
IRQ,Iraq,NEAREAST,26783383,437072,"61,3","0,01",0,"50,25",1500,"40,4","38,6","13,15","0,78","86,07",1,"31,98","5,37",73,666,261,"33,223191","43,679291"
IRL,Ireland,WESTERNEUROPE,4062235,70280,"57,8","2,06","4,99","5,39",29600,98,"500,5","15,2","0,03","84,77",3,"14,45","7,82","0,05","0,46","0,49","53,41291","-8,24389"
IMN,IsleofMan,WESTERNEUROPE,75441,572,"131,9","27,97","5,36","5,93",21000,,676,9,0,91,3,"11,05","11,19","0,01","0,13","0,86","54,236107","-4,548056"
ISR,Israel,NEAREAST,6352117,20770,"305,8","1,31","0,68","7,03",19800,"95,4","462,3","16,39","4,17","79,44",3,"17,97","6,18",26,317,657,"31,046051","34,851612"
ITA,Italy,WESTERNEUROPE,58133509,301230,193,"2,52","2,07","5,94",26700,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4",21,291,688,"41,87194","12,56738"
JAM,Jamaica,LATINAMER.&CARIB,2758124,10991,"250,9","9,3","-4,92","12,36",3900,"87,9",124,"16,07","10,16","73,77",2,"20,82","6,52",49,337,615,"18,109581","-77,297508"
JPN,Japan,ASIA(EX.NEAREAST),127463611,377835,"337,4","7,87",0,"3,26",28200,99,"461,2","12,19","0,96","86,85",3,"9,37","9,16",17,258,725,"36,204824","138,252924"
JEY,Jersey,WESTERNEUROPE,91084,116,"785,2","60,34","2,76","5,24",24800,,"811,3",0,0,100,3,"9,3","9,28","0,05","0,02","0,93","49,214439","-2,13125"
JOR,Jordan,NEAREAST,5906760,92300,64,"0,03","6,59","17,35",4300,"91,3","104,5","2,67","1,83","95,5",1,"21,25","2,65",33,287,"0,68","30,585164","36,238414"
KAZ,Kazakhstan,C.W.OFIND.STATES,15233244,2717300,"5,6",0,"-3,35","29,21",6300,"98,4","164,1","7,98","0,05","91,97",4,16,"9,42",67,386,547,"48,019573","66,923684"
KEN,Kenya,SUB-SAHARANAFRICA,34707817,582650,"59,6","0,09","-0,1","61,47",1000,"85,1","8,1","8,08","0,98","90,94","1,5","39,72","14,02",163,188,651,"-0,023559","37,906193"
KIR,Kiribati,OCEANIA,105432,811,130,"140,94",0,"48,52",800,,"42,7","2,74","50,68","46,58",2,"30,65","8,26",89,242,668,"-3,370417","-168,734039"
PRK,"Korea,North",ASIA(EX.NEAREAST),23113019,120540,"191,8","2,07",0,"24,04",1300,99,"42,4","20,76","2,49","76,75",3,"15,54","7,13","0,3","0,34","0,36","40,339852","127,510093"
KOR,"Korea,South",ASIA(EX.NEAREAST),48846823,98480,496,"2,45",0,"7,05",17800,"97,9","486,1","17,18","1,95","80,87",3,10,"5,85",33,403,563,"35,907757","127,766922"
KWT,Kuwait,NEAREAST,2418393,17820,"135,7","2,8","14,18","9,95",19000,"83,5",211,"0,73","0,11","99,16",1,"21,94","2,41",4,479,516,"29,31166","47,481766"
